B;236;2625883;4;20220704 01:16;KORREO (PMS 13041);;10127;BARRIER HWY;NOONA;2835;2700;M;20210630;20210831;589410;RU1;3;COMMERCIAL;;RRE;;0;AS133499;
B;236;4218236;2;20201005 01:03;NOONA STATION;;1817;BELARABON RD;NOONA;2835;18580;H;20191129;20200326;1500000;RU1;3;FARMLAND;;RMG;;0;AQ57306;
B;236;4331539;5;20201207 01:06;;;;BARRIER HWY;NOONA;2835;7415;H;20200713;20200714;630000;;3;FARM;;;;0;AQ244334;
B;236;2625610;14;20250811 01:19;BROADMEADOWS;;8273;BARRIER HWY;NOONA;2835;17097;H;20250515;20250717;4300000;RU1;3;FARM;;RMG;;;AV250761;
B;236;2625884;6;20220725 01:14;BULLA PARK DRCS;;108;COOMERATTA RD;NOONA;2835;2076;M;20210630;20210831;505011;RU1;3;COMMERCIAL;;RRE;;0;AS133494;
B;236;2625597;1;20161128 01:10;BOULKARA;;9285;BARRIER HWY;NOONA;2835;13492;H;20160907;20161025;900000;RU1;3;FARM;;RMG;;0;AK934846;
B;236;3439850;2;20111114 03:28;COOMERA PARK;;;COOMERATTA RD;NOONA;2835;12386;H;20110225;20110819;550000;R;V;VACANT LAND;;MG;;0;AG465168;
B;236;3464038;1;20121217 01:50;BULLA & COOMERATTA;;;COOMERATTA RD;NOONA;2835;25983.34;H;20120706;20121022;1470000;RU1;3;FARM;;RMG;;0;AH376575;
B;236;3560843;3;20130805 01:17;MULCHARA PARK;;2562;BELARABON RD;NOONA;2835;15106.7;H;20130510;20130712;875000;RU1;3;FARM;;RMG;;0;AH904177;
B;236;3560841;1;20130708 01:30;TILTAGARA;;3358;BELARABON RD;NOONA;2835;14378.7;H;20130129;20130607;835000;RU1;3;FARM;;RMG;;0;AH805641;
B;236;2625589;4;20130715 01:20;EVERDALE;;304;NECKARBO RD;NOONA;2835;14496;H;20130315;20130607;525000;RU1;3;FARM/RURAL;;RMG;;0;AH838759;
B;236;3464039;1;20140804 01:12;BULLA BULLA;;1665;COOMERATTA RD;NOONA;2835;13312;H;20140306;20140620;465000;RU1;3;RURAL;;RMG;;0;AI699630;
