B;214;;707;20020102 13:50;;;;;MOUNT DRUIT;;;;20010514;20011206;183400;;R;RESIDENCE;6;;;;8186422;
B;214;;487;20020301 13:37;;;;;MOUNT DRUIT;;;;20010228;20011210;189000;;R;RESIDENCE;10;;;;8355829;
B;214;;488;20020301 13:37;;;;;MOUNT DRUIT;;;;20010430;20011217;183400;;R;RESIDENCE;7;;;;8336564;
B;214;;722;20020201 12:12;;;;;MOUNT DRUIT;;;;20010529;20011207;183400;;R;RESIDENCE;1;;;;8256200;
B;214;;723;20020201 12:12;;;;;MOUNT DRUIT;;;;20010525;20011206;183400;;R;RESIDENCE;2;;;;8249236;
B;214;;724;20020201 12:12;;;;;MOUNT DRUIT;;;;20010508;20011206;183400;;R;RESIDENCE;3;;;;8217785;
B;214;;725;20020201 12:12;;;;;MOUNT DRUIT;;;;20010628;20011207;183000;;R;RESIDENCE;4;;;;8282733;
B;214;;726;20020201 12:12;;;;;MOUNT DRUIT;;;;20010517;20011221;183000;;R;RESIDENCE;5;;;;8270566;
B;214;;727;20020201 12:12;;;;;MOUNT DRUIT;;;;20010511;20011214;183400;;R;RESIDENCE;8;;;;8248376;
B;214;;728;20020201 12:12;;;;;MOUNT DRUIT;;;;20010511;20011214;183400;;R;RESIDENCE;9;;;;8234885;
