B;022;2898319;59;20020603 09:47;;;;;TUMBLETON CREEK;;;;20011224;20020410;588564;;3;FARMLAND;;;;;8581726;
B;022;2898320;60;20020603 09:47;;;;;TUMBLETON CREEK;;;;20020116;20020426;1910000;;3;FARM;;;;;8545687;
