B;708;2116612;42;20251201 01:13;ADLEN;68;39;COOK RD;CENTENNIAL PARK;2021;;;20251016;20251127;850000;;R;RESIDENCE;59;;;;AV650780;
B;708;2116968;24;20180402 01:19;;66;69;COOK RD;CENTENNIAL PARK;2021;;;20180210;20180315;610000;;R;RESIDENCE;66;;;0;AN208814;
B;708;2125898;54;20250602 01:24;JUANITA;2;20;FURBER RD;CENTENNIAL PARK;2021;;;20250416;20250528;852500;;R;RESIDENCE;2;;;0;AV98538;
B;708;2117438;51;20180702 01:22;;240;60;COOK RD;CENTENNIAL PARK;2021;;;20180421;20180604;388500;;R;RESIDENCE;9;;;0;AN445462;
B;708;4118463;129;20180702 01:22;;;66;COOK RD;CENTENNIAL PARK;2021;;;20161025;20180531;1570000;;R;RESIDENCE;12;;;0;AN446778;
B;708;2116796;53;20210802 01:07;;37;53;COOK RD;CENTENNIAL PARK;2021;;;20210610;20210726;1120000;;R;RESIDENCE;25;;;0;AR274402;
B;708;2116796;54;20210802 01:07;;77;53;COOK RD;CENTENNIAL PARK;2021;;;20210603;20210728;1090000;;R;RESIDENCE;61;;;0;AR282048;
B;708;2116796;55;20210802 01:07;;79;53;COOK RD;CENTENNIAL PARK;2021;;;20210603;20210728;1090000;;R;RESIDENCE;79;;;0;AR282048;
B;708;2116796;56;20210802 01:07;;97;53;COOK RD;CENTENNIAL PARK;2021;;;20210610;20210726;1120000;;R;RESIDENCE;97;;;0;AR274402;
B;708;4118463;106;20210802 01:07;;9;66;COOK RD;CENTENNIAL PARK;2021;;;20210611;20210723;835000;;R;RESIDENCE;9;;;0;AR268404;
B;708;2116686;35;20240902 01:09;;42;49;COOK RD;CENTENNIAL PARK;2021;;;20240712;20240823;480000;;R;RESIDENCE;29;;;0;AU359050;
B;708;2116906;42;20241202 01:09;;49;57;COOK RD;CENTENNIAL PARK;2021;;;20241012;20241125;1270000;;R;RESIDENCE;49;;;0;AU613848;
B;708;2117232;58;20200203 01:04;;110;141;COOK RD;CENTENNIAL PARK;2021;;;20191118;20200124;1047000;;R;RESIDENCE;110;;;0;AP855389;
B;708;2131424;34;20170403 01:10;;1;112;LANG RD;CENTENNIAL PARK;2021;;;20161024;20170323;2850000;;R;RESIDENCE;1;;;0;AM262787;
B;708;2116546;43;20240603 01:08;;4;7;COOK RD;CENTENNIAL PARK;2021;;;20231221;20240528;1626000;;R;RESIDENCE;4;;;0;AU105659;
B;708;2116546;44;20240603 01:08;;15;7;COOK RD;CENTENNIAL PARK;2021;;;20240306;20240528;1740000;;R;RESIDENCE;15;;;0;AU105657;
B;708;2116968;49;20240603 01:08;;67;69;COOK RD;CENTENNIAL PARK;2021;;;20240413;20240527;1175000;;R;RESIDENCE;67;;;0;AU101623;
B;708;2117135;50;20240603 01:08;;4 E;105;COOK RD;CENTENNIAL PARK;2021;;;20240415;20240527;455000;;R;RESIDENCE;20;;;0;AU101112;
B;708;2116906;54;20170703 01:10;;5;57;COOK RD;CENTENNIAL PARK;2021;;;20170421;20170619;780000;;R;RESIDENCE;5;;;0;AM504377;
B;708;2131394;85;20170703 01:10;;1;60;LANG RD;CENTENNIAL PARK;2021;;;20170322;20170615;1880000;;R;RESIDENCE;1;;;0;AM521368;
B;708;2131424;86;20170703 01:10;;2;112;LANG RD;CENTENNIAL PARK;2021;;;20161024;20170410;2300000;;R;RESIDENCE;2;;;0;AM519691;
B;708;2125908;59;20230703 01:15;;2;22;FURBER RD;CENTENNIAL PARK;2021;;;20230428;20230629;860000;;R;RESIDENCE;2;;;0;AT220962;
B;708;3230316;120;20230703 01:15;;27;80;COOK RD;CENTENNIAL PARK;2021;;;20230518;20230623;730000;;R;RESIDENCE;27;;;0;AT202484;
B;708;3230316;121;20230703 01:15;;40;80;COOK RD;CENTENNIAL PARK;2021;;;20230511;20230622;732000;;R;RESIDENCE;40;;;0;AT198266;
B;708;2125908;42;20200803 01:04;;9;22;FURBER RD;CENTENNIAL PARK;2021;;;20200618;20200730;882000;;R;RESIDENCE;9;;;0;AQ283274;
B;708;2117232;114;20180903 01:21;;5;127;COOK RD;CENTENNIAL PARK;2021;;;20180718;20180829;1100000;;R;RESIDENCE;5;;;0;AN668671;
B;708;2116906;54;20161003 01:10;;13;57;COOK RD;CENTENNIAL PARK;2021;;;20160726;20160906;800000;;R;RESIDENCE;13;;;0;AK796727;
B;708;2117383;57;20161003 01:10;;2;70;COOK RD;CENTENNIAL PARK;2021;;;20160824;20160922;1216000;;R;RESIDENCE;2;;;0;AK775786;
B;708;2116585;34;20221003 02:10;PARKLANE;17;27;COOK RD;CENTENNIAL PARK;2021;;;20220827;20220929;1475000;;R;RESIDENCE;17;;;0;AS510628;
B;708;2125898;48;20221003 02:10;JUANITA;6;20;FURBER RD;CENTENNIAL PARK;2021;;;20220701;20220929;770000;;R;RESIDENCE;6;;;0;AS510212;
B;708;2116612;59;20251103 01:13;ADLEN;30;39;COOK RD;CENTENNIAL PARK;2021;;;20250917;20251029;925000;;R;RESIDENCE;21;;;;AV558000;
B;708;2116686;60;20251103 01:13;;64;49;COOK RD;CENTENNIAL PARK;2021;;;20250818;20251020;600000;;R;RESIDENCE;49;;;;AV526345;
B;708;2116686;61;20251103 01:13;CAR SPACE;88;49;COOK RD;CENTENNIAL PARK;2021;;;20250818;20251020;600000;;R;RESIDENCE;88;;;;AV526345;
B;708;3230316;124;20251103 01:13;;40;80;COOK RD;CENTENNIAL PARK;2021;;;20250916;20251028;870000;;R;RESIDENCE;40;;;;AV553422;
B;708;2131399;114;20181203 01:18;;;62;LANG RD;CENTENNIAL PARK;2021;891.6;M;20180323;20181119;12000000;R2;R;RESIDENCE;;GF1;;0;AN889829;
B;708;3813478;143;20181203 01:18;;6;19;POATE RD;CENTENNIAL PARK;2021;94;M;20181018;20181129;1110000;;R;RESIDENCE;6;;;0;AN894968;
B;708;2117495;56;20240304 01:08;;;48;COOK RD;CENTENNIAL PARK;2021;215.3;M;20231215;20240228;4500000;R1;R;RESIDENCE;;BF1;;0;AT866647;
B;708;2140482;74;20240304 01:08;;1;19 A;POATE RD;CENTENNIAL PARK;2021;;;20231125;20240226;800000;;R;RESIDENCE;1;;;0;AT858518;
B;708;2117039;22;20160404 01:17;;26;77;COOK RD;CENTENNIAL PARK;2021;;;20160130;20160311;505000;;R;RESIDENCE;26;;;0;AK318328;
B;708;2117039;43;20200504 01:09;;24;77;COOK RD;CENTENNIAL PARK;2021;;;20200311;20200429;755000;;R;RESIDENCE;24;;;0;AQ68114;
B;708;3166921;83;20200504 01:09;;2;153;COOK RD;CENTENNIAL PARK;2021;;;20200314;20200427;783000;;R;RESIDENCE;2;;;0;AQ63305;
B;708;2125908;36;20180604 01:20;;14;22;FURBER RD;CENTENNIAL PARK;2021;;;20180503;20180528;925000;;R;RESIDENCE;14;;;0;AN385013;
B;708;4118463;69;20180604 01:20;;;66;COOK RD;CENTENNIAL PARK;2021;;;20161008;20180530;970000;;R;RESIDENCE;6;;;0;AN382425;
B;708;4118463;70;20180604 01:20;;;66;COOK RD;CENTENNIAL PARK;2021;;;20180511;20180524;1360000;;R;RESIDENCE;8;;;0;AN368319;
B;708;4118463;71;20180604 01:20;;;66;COOK RD;CENTENNIAL PARK;2021;;;20170519;20180524;1585000;;R;RESIDENCE;11;;;0;AN375126;
B;708;4118463;72;20180604 01:20;;;66;COOK RD;CENTENNIAL PARK;2021;;;20161008;20180518;1370000;;R;RESIDENCE;14;;;0;AN370569;
B;708;2116796;47;20250804 01:13;;73;53;COOK RD;CENTENNIAL PARK;2021;;;20250604;20250728;565000;;R;RESIDENCE;57;;;;AV278230;
B;708;2116796;48;20250804 01:13;;107;53;COOK RD;CENTENNIAL PARK;2021;;;20250604;20250728;565000;;R;RESIDENCE;107;;;;AV278230;
B;708;2140482;79;20250804 01:13;;5;19 A;POATE RD;CENTENNIAL PARK;2021;;;20250620;20250730;818500;;R;RESIDENCE;5;;;;AV286519;
B;708;2125898;39;20230904 01:07;JUANITA;4;20;FURBER RD;CENTENNIAL PARK;2021;;;20230715;20230828;900000;;R;RESIDENCE;4;;;0;AT388302;
B;708;2131409;54;20230904 01:07;;;82;LANG RD;CENTENNIAL PARK;2021;834.7;M;20230316;20230831;14500000;R2;R;RESIDENCE;;GF1;;0;AT401698;
B;708;2116906;38;20241104 01:09;;22;57;COOK RD;CENTENNIAL PARK;2021;;;20241009;20241030;925000;;R;RESIDENCE;22;;;0;AU538948;
B;708;2116968;39;20241104 01:09;;14;69;COOK RD;CENTENNIAL PARK;2021;;;20240914;20241028;1025000;;R;RESIDENCE;14;;;0;AU533512;
B;708;2140482;72;20241104 01:09;;6;19 A;POATE RD;CENTENNIAL PARK;2021;;;20241030;20241030;320000;;R;RESIDENCE;6;;;0;AU538539;
B;708;2117232;50;20240205 01:10;;27;127;COOK RD;CENTENNIAL PARK;2021;;;20231209;20240130;1854000;;R;RESIDENCE;27;;;0;AT798913;
B;708;2116686;71;20210405 01:09;;16;49;COOK RD;CENTENNIAL PARK;2021;;;20210222;20210329;812500;;R;RESIDENCE;6;;;0;AQ915666;
B;708;2116686;72;20210405 01:09;CAR SPACE;89;49;COOK RD;CENTENNIAL PARK;2021;;;20210222;20210329;812500;;R;RESIDENCE;89;;;0;AQ915666;
B;708;2116686;28;20250505 01:25;;29;49;COOK RD;CENTENNIAL PARK;2021;;;20250331;20250501;719000;;R;RESIDENCE;18;;;0;AV22866;
B;708;3166921;83;20250505 01:25;;7;153;COOK RD;CENTENNIAL PARK;2021;;;20250304;20250429;2120000;;R;RESIDENCE;7;;;0;AV14342;
B;708;2116906;49;20230605 01:14;;25;57;COOK RD;CENTENNIAL PARK;2021;;;20230428;20230531;1090000;;R;RESIDENCE;25;;;0;AT136408;
B;708;2131423;131;20210705 01:07;;;110;LANG RD;CENTENNIAL PARK;2021;834.7;M;20210318;20210701;12000000;R2;R;RESIDENCE;;GF1;;0;AR201118;
B;708;2116612;46;20240805 01:10;ADLEN;12;39;COOK RD;CENTENNIAL PARK;2021;;;20240606;20240801;696100;;R;RESIDENCE;3;;;0;AU295791;
B;708;2136301;82;20240805 01:10;;;5;MOORE PARK RD;CENTENNIAL PARK;2021;208.7;M;20240615;20240801;3325000;R1;R;RESIDENCE;;BF1;;0;AU295720;
B;708;2116612;54;20160905 01:08;ADLEN;24;39;COOK RD;CENTENNIAL PARK;2021;;;20160625;20160817;605000;;R;RESIDENCE;15;;;0;AK706393;
B;708;2117465;43;20220905 01:57;;358;58;COOK RD;CENTENNIAL PARK;2021;;;20220715;20220826;400000;;R;RESIDENCE;8;;;0;AS422540;
B;708;2117528;33;20201005 01:04;PARKSIDE;1 A;2;COOK RD;CENTENNIAL PARK;2021;;;20200815;20200928;961000;;R;RESIDENCE;1;;;0;AQ428624;
B;708;2117232;33;20181105 01:20;;88;141;COOK RD;CENTENNIAL PARK;2021;;;20180719;20181019;1150000;;R;RESIDENCE;88;;;0;AN817970;
B;708;2143178;47;20181105 01:20;;;9;ROBERTSON RD;CENTENNIAL PARK;2021;757.12;M;20180916;20181026;6625000;R2;R;RESIDENCE;;GF1;;0;AN812262;
B;708;2117413;32;20161205 01:09;;5;68;COOK RD;CENTENNIAL PARK;2021;;;20160927;20161118;395000;;R;RESIDENCE;5;;;0;AK964963;
